% F    256  0.619840000000000E+01  0.619840000000000E+01  0.619840000000000E+01
   0.497559590092617E-01  0.668247076112734E-02  0.465915375496125E-01
   0.799592768547143E+00  0.761539089737476E+00 -0.193631012452685E-02
  -0.426245736366015E-01  0.725335522927773E+00  0.759508128851802E+00
   0.759024381607284E+00 -0.282048273661527E-01  0.738116041001366E+00
   0.158965245144219E+01 -0.113233989542596E-01 -0.545177106121519E-02
   0.234059321808958E+01  0.726410830043056E+00  0.150854836103917E-01
   0.156424088254838E+01  0.757098729094056E+00  0.810369240288533E+00
   0.231452869193638E+01 -0.293125670781243E-01  0.821653946421660E+00
   0.310903995343181E+01  0.172980732776263E-01 -0.431176893270380E-02
   0.385700151235734E+01  0.734838292650218E+00  0.255453304759727E-01
   0.310976932669802E+01  0.796704791340845E+00  0.814533460388653E+00
   0.388982291204811E+01 -0.349283162869895E-01  0.786031490499670E+00
   0.469666602381321E+01  0.499142269426803E-01 -0.243202013816840E-01
   0.542868654031552E+01  0.790704751789364E+00  0.540051353968156E-02
   0.469657600986095E+01  0.814992330446046E+00  0.790592468442021E+00
   0.544648585083996E+01 -0.975447349367249E-02  0.817662766315404E+00
  -0.352164809956109E-01  0.156705292990638E+01  0.269614309275896E-01
   0.758732255214579E+00  0.228598188549490E+01  0.114369184361514E-01
   0.320617139465832E-01  0.236910946559241E+01  0.797912865185356E+00
   0.774560390646304E+00  0.153708017407872E+01  0.766950585600453E+00
   0.155489030382558E+01  0.159939192791781E+01  0.490394748041513E-01
   0.234903096553073E+01  0.236977590617480E+01 -0.406725309666562E-01
   0.157300236871158E+01  0.234957616159256E+01  0.819484850567600E+00
   0.234501763632512E+01  0.158098096664825E+01  0.780659451959655E+00
   0.305537055768751E+01  0.154763807801854E+01  0.976897721963292E-02
   0.383775319188363E+01  0.233313952004067E+01  0.199682629163997E-02
   0.313778783448130E+01  0.230478101719905E+01  0.791765730397226E+00
   0.389049400915298E+01  0.154996768993979E+01  0.750957512041193E+00
   0.460645595015108E+01  0.150972496627944E+01  0.492657397218519E-02
   0.541115849474908E+01  0.227591495025790E+01  0.292915446074439E-01
   0.466088775449016E+01  0.235176035774286E+01  0.820158076098624E+00
   0.538502443721339E+01  0.153144626428756E+01  0.784481984622356E+00
  -0.451847097394418E-01  0.306062057780274E+01 -0.284035080823878E-01
   0.734857339249283E+00  0.383133418024999E+01 -0.253138260272312E-01
  -0.566157332037172E-02  0.384483675732545E+01  0.781499834273483E+00
   0.727231239969652E+00  0.309122905770712E+01  0.764585302411698E+00
   0.159725854254921E+01  0.311846050329928E+01 -0.495056632513223E-01
   0.228739210324452E+01  0.382867772596353E+01  0.339777741284771E-01
   0.156744888222114E+01  0.388219508167749E+01  0.798152591945677E+00
   0.228600427446695E+01  0.313322996546276E+01  0.808299597354277E+00
   0.312385363962886E+01  0.313352008930683E+01  0.288390014350658E-02
   0.389054846664813E+01  0.389707365692392E+01 -0.893957363507694E-02
   0.308477215961646E+01  0.389753770423280E+01  0.771931766482510E+00
   0.387026254343486E+01  0.312516917071958E+01  0.795045941926541E+00
   0.462459658084847E+01  0.314297050325545E+01 -0.438964159950575E-02
   0.545444892970068E+01  0.391488480529889E+01  0.194876663323514E-01
   0.462074885062923E+01  0.390949545559228E+01  0.799239668968351E+00
   0.540371130612705E+01  0.311639685452984E+01  0.786671403637839E+00
   0.467573611402801E-01  0.469782393027740E+01 -0.161993483055020E-01
   0.816876724758821E+00  0.540750733399571E+01  0.430943530066292E-01
   0.465285509796513E-02  0.542015125893218E+01  0.742491409587190E+00
   0.762599409750057E+00  0.461632206228228E+01  0.760485826750122E+00
   0.156616764250907E+01  0.466065492680730E+01 -0.310527562204669E-02
   0.230602518610221E+01  0.540048799086903E+01 -0.300078756175193E-01
   0.154114279763213E+01  0.547153029133347E+01  0.779121158887685E+00
